keyword,parent_keyword,cluster,category,monthly_pc,monthly_mobile,monthly_total,competition,source_seed,trend_1m,trend_3m,trend_momentum,seasonality,web_result_count,demand_supply_ratio,competition_ratio,result_count_checked_at,commercial_intent,freshness,longtail_score,content_fit,opportunity_score,score_valid,score_invalid_reasons,data_coverage,novelty_score,theme_state,seed_source,exploration_bucket,status,discovered_at,last_checked,source,depth,confidence,content_types,intent,action,closest_url,overlap,reason,strategy,volume_note,search_ads_checked_at,datalab_checked_at,pending_validation,pending_retry_count,pending_last_attempt_at,pending_validation_expired
CSS specificity calculator,,cssspecificitycalculator,topic:css,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/electricity-cost-calculator/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-26T08:20:10.101247+09:00,,,,
HTTP/3 connection check,,http3connectioncheck,topic:http,,,0,낮음,HTTP/3 connection check,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/fr/util/dice3d/,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-25T06:34:44.574344+09:00,2026-09-26T08:20:10.101247+09:00,,,,
IRI URI converter,,iriuriconverter,topic:iri,,,0,낮음,IRI URI converter,,,,,,,,,0.3,0.2,0.30000000000000004,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/caseconverter/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-25T09:35:21.318215+09:00,2026-09-26T08:20:10.101247+09:00,,,,
JSON to CSV converter,,jsontocsvconverter,topic:json,,,0,낮음,JSON to CSV converter,,,,,,,,,0.3,0.2,0.36000000000000004,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/caseconverter/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-25T22:53:19.272882+09:00,2026-09-26T08:20:10.101247+09:00,,,,
Merchant Center 인기제품 순위와 지연 해석,,merchantcenter인기제품순위와지연해석,topic:merchant,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/cuba-varadero.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T04:07:43.702725+09:00,2026-09-26T08:20:10.101247+09:00,,,,
SNS 해외직구 쇼핑몰 피해,,sns해외직구쇼핑몰피해,topic:sns,,,0,낮음,SNS 해외직구 쇼핑몰 피해,,,,,,,,,0.3,0.2,0.24,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/kor/report/travel/singapore-orchard.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-25T22:53:19.272882+09:00,2026-09-26T08:20:10.101247+09:00,,,,
TLS connection inspection,,tlsconnectioninspection,topic:tls,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/kor/util/car-inspection-cost/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T04:07:43.702725+09:00,2026-09-26T08:20:10.101247+09:00,,,,
URI Template expander,,uritemplateexpander,topic:uri,,,0,낮음,URI Template expander,,,,,,,,,0.3,0.2,0.38,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/korea-gunwi.html,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-25T09:35:21.318215+09:00,2026-09-26T08:20:10.101247+09:00,,,,
URI component parser,,uricomponentparser,topic:uri,,,0,낮음,URI component parser,,,,,,,,,0.3,0.2,0.36000000000000004,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/url-encoder/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-25T09:35:21.318215+09:00,2026-09-26T08:20:10.101247+09:00,,,,
URI normalization comparison,,urinormalizationcomparison,topic:uri,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/stock/aapl.html,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-26T08:20:10.101247+09:00,,,,
